Player,Player-additional,Tm,Salary,Year
Yuta Watanabe,watanyu01,TOR,321893,2021
Anthony Tolliver,tollian01,PHI,263501,2021
Tim Frazier,fraziti01,MEM,255294,2021
Khyri Thomas,thomakh01,HOU,250000,2021
Damian Jones,jonesda03,SAC,237965,2021
DeMarcus Cousins,couside01,LAC,233095,2021
Moritz Wagner,wagnemo01,ORL,221995,2021
Yogi Ferrell,ferreyo01,LAC,214169,2021
Rondae Hollis-Jefferson,holliro01,POR,210895,2021
Austin Rivers,riverau01,DEN,188696,2021
Devonte' Graham,grahade01,CHO,163861,2021
Mamadi Diakite,diakima01,MIL,160173,2021
Mfiondu Kabengele,kabenmf01,CLE,154433,2021
Naji Marshall,marshna01,NOP,120000,2021
Freddie Gillespie,gillefr01,TOR,116903,2021
Ignas Brazdeikis,brazdig01,ORL,49510,2021
Mike James,jamesmi02,BRK,39608,2021
Elijah Bryant,bryanel01,MIL,24611,2021
Charlie Brown Jr.,brownch02,OKC,19804,2021
Omer Yurtseven,yurtsom01,UTA,18458,2021
Gary Payton II,paytoga02,GSW,11898,2021
Stephen Curry,curryst01,GSW,45780966,2022
James Harden,hardeja01,PHI,44310840,2022
John Wall,walljo01,HOU,44310840,2022
Russell Westbrook,westbru01,LAL,44211146,2022
Kevin Durant,duranke01,BRK,42018900,2022
LeBron James,jamesle01,LAL,41180544,2022
Giannis Antetokounmpo,antetgi01,MIL,39344970,2022
Damian Lillard,lillada01,POR,39344900,2022
Kawhi Leonard,leonaka01,LAC,39344900,2022
Paul George,georgpa01,LAC,39344900,2022
Klay Thompson,thompkl01,GSW,37980720,2022
Jimmy Butler,butleji01,MIA,36016200,2022
Tobias Harris,harrito02,PHI,35995950,2022
Khris Middleton,middlkh01,MIL,35500000,2022
Anthony Davis,davisan02,LAL,35361360,2022
Rudy Gobert,goberru01,UTA,35344828,2022
Kyrie Irving,irvinky01,BRK,35328700,2022
Bradley Beal,bealbr01,WAS,33724200,2022
Ben Simmons,simmobe01,LAC,33003936,2022
Pascal Siakam,siakapa01,TOR,33003936,2022
Jrue Holiday,holidjr01,MIL,32413333,2022
Devin Booker,bookede01,PHO,31650600,2022
Karl-Anthony Towns,townska01,MIN,31650600,2022
Kristaps Porziņģis,porzikr01,WAS,31650600,2022
Joel Embiid,embiijo01,PHI,31579390,2022
Andrew Wiggins,wiggian01,GSW,31579390,2022
Nikola Jokić,jokicni01,DEN,31579390,2022
Kevin Love,loveke01,CLE,31258256,2022
CJ McCollum,mccolcj01,NOP,30864198,2022
D'Angelo Russell,russeda01,MIN,30013500,2022
Chris Paul,paulch01,PHO,30000000,2022
Gordon Hayward,haywago01,CHO,29925000,2022
Jamal Murray,murraja01,DEN,29467800,2022
Brandon Ingram,ingrabr01,NOP,29467800,2022
De'Aaron Fox,foxde01,SAC,28103550,2022
Bam Adebayo,adebaba01,MIA,28103500,2022
Donovan Mitchell,mitchdo01,UTA,28103500,2022
Jayson Tatum,tatumja01,BOS,28103500,2022
Al Horford,horfoal01,BOS,27000000,2022
Kyle Lowry,lowryky01,MIA,26894128,2022
Jaylen Brown,brownja02,BOS,26758928,2022
DeMar DeRozan,derozde01,CHI,26000000,2022
Draymond Green,greendr01,GSW,24026712,2022
Nikola Vučević,vucevni01,CHI,24000000,2022
John Collins,collijo01,ATL,23000000,2022
Buddy Hield,hieldbu01,IND,22768890,2022
Julius Randle,randlju01,NYK,21780000,2022
Malcolm Brogdon,brogdma01,IND,21700000,2022
Tim Hardaway Jr.,hardati02,DAL,21308816,2022
Mike Conley,conlemi01,UTA,21000000,2022
Gary Harris,harriga01,ORL,20482143,2022
Danilo Gallinari,gallida01,ATL,20475000,2022
Harrison Barnes,barneha02,SAC,20284091,2022
Jerami Grant,grantje01,DET,20002500,2022
Jarrett Allen,allenja01,CLE,20000000,2022
Domantas Sabonis,sabondo01,SAC,19800000,2022
Fred VanVleet,vanvlfr01,TOR,19675926,2022
Zach LaVine,lavinza01,CHI,19500000,2022
Bojan Bogdanović,bogdabo02,UTA,18700000,2022
Lonzo Ball,balllo01,CHI,18604651,2022
Clint Capela,capelca01,ATL,18603448,2022
Eric Gordon,gordoer01,HOU,18218818,2022
Eric Bledsoe,bledser01,LAC,18125000,2022
Myles Turner,turnemy01,IND,18000000,2022
Bogdan Bogdanović,bogdabo01,ATL,18000000,2022
Terry Rozier,roziete01,CHO,17905263,2022
Ricky Rubio,rubiori01,CLE,17800000,2022
Caris LeVert,leverca01,CLE,17500000,2022
Joe Harris,harrijo01,BRK,17357143,2022
Spencer Dinwiddie,dinwisp01,DAL,17142857,2022
Steven Adams,adamsst01,MEM,17073171,2022
Evan Fournier,fournev01,NYK,17000000,2022
Markelle Fultz,fultzma01,ORL,16500000,2022
Aaron Gordon,gordoaa01,DEN,16409091,2022
OG Anunoby,anunoog01,TOR,16071429,2022
Dāvis Bertāns,bertada01,DAL,16000000,2022
Gary Trent Jr.,trentga02,TOR,16000000,2022
Lauri Markkanen,markkla01,CLE,15690909,2022
Duncan Robinson,robindu01,MIA,15650000,2022
Marcus Morris,morrima03,LAC,15627907,2022
Will Barton,bartowi01,DEN,15625000,2022
Norman Powell,powelno01,LAC,15517241,2022
Dejounte Murray,murrade01,SAS,15428880,2022
Derrick White,whitede01,BOS,15178571,2022
Malik Beasley,beaslma01,MIN,14491964,2022
Marcus Smart,smartma01,BOS,14339285,2022
Patrick Beverley,beverpa01,MIN,14320988,2022
Thaddeus Young,youngth01,TOR,14190000,2022
Jonas Valančiūnas,valanjo01,NOP,14000000,2022
Doug McDermott,mcderdo01,SAS,13750000,2022
Christian Wood,woodch01,HOU,13666667,2022
Derrick Rose,rosede01,NYK,13445120,2022
Luke Kennard,kennalu01,LAC,13347727,2022
Brook Lopez,lopezbr01,MIL,13302325,2022
Kentavious Caldwell-Pope,caldwke01,WAS,13038862,2022
Joe Ingles,inglejo01,UTA,13036364,2022
Kyle Kuzma,kuzmaky01,WAS,13000000,2022
Taurean Prince,princta02,MIN,13000000,2022
Robert Covington,covinro01,LAC,12975471,2022
T.J. Warren,warretj01,NYK,12690000,2022
Deandre Ayton,aytonde01,PHO,12632950,2022
Terrence Ross,rosste01,ORL,12500000,2022
Jordan Clarkson,clarkjo01,UTA,12420000,2022
Dillon Brooks,brookdi01,MEM,12200000,2022
Kelly Olynyk,olynyke01,DET,12195122,2022
Jusuf Nurkić,nurkiju01,POR,12000000,2022
Kelly Oubre Jr.,oubreke01,CHO,12000000,2022
Josh Hart,hartjo01,POR,12000000,2022
Josh Richardson,richajo01,SAS,11615328,2022
Marvin Bagley III,baglema01,DET,11312114,2022
Dwight Powell,poweldw01,DAL,11080125,2022
Devonte' Graham,grahade01,NOP,11000000,2022
Zion Williamson,willizi01,NOP,10733400,2022
Larry Nance Jr.,nancela02,NOP,10690909,2022
Jeremy Lamb,lambje01,SAC,10500000,2022
Richaun Holmes,holmeri01,SAC,10384500,2022
Reggie Jackson,jacksre01,LAC,10384500,2022
Anthony Edwards,edwaran01,MIN,10245480,2022
Luka Dončić,doncilu01,DAL,10174391,2022
Cade Cunningham,cunnica01,DET,10050120,2022
Tomáš Satoranský,satorto01,WAS,10000000,2022
Danny Green,greenda02,PHI,10000000,2022
Kyle Anderson,anderky01,MEM,9937150,2022
Montrezl Harrell,harremo01,CHO,9720900,2022
Jae Crowder,crowdja01,PHO,9720900,2022
Serge Ibaka,ibakase01,MIL,9720900,2022
Derrick Jones Jr.,jonesde02,CHI,9720900,2022
Derrick Favors,favorde01,OKC,9720900,2022
Ja Morant,moranja01,MEM,9603360,2022
Alec Burks,burksal01,NYK,9536000,2022
Reggie Bullock,bullore01,DAL,9536000,2022
Talen Horton-Tucker,hortota01,LAL,9500000,2022
Mason Plumlee,plumlma01,CHO,9248333,2022
Jaren Jackson Jr.,jacksja02,MEM,9180560,2022
James Wiseman,wisemja01,IND,9166800,2022
Jalen Green,greenja05,HOU,8992200,2022
Maxi Kleber,klebima01,DAL,8975000,2022
De'Anthony Melton,meltode01,MEM,8805976,2022
Royce O'Neale,onealro01,UTA,8800000,2022
Jakob Poeltl,poeltja01,SAS,8750000,2022
Kemba Walker,walkeke02,NYK,8729020,2022
Thomas Bryant,bryanth01,WAS,8666667,2022
Alex Caruso,carusal01,CHI,8650651,2022
RJ Barrett,barrerj01,NYK,8623920,2022
Delon Wright,wrighde01,ATL,8526316,2022
Dario Šarić,saricda01,SAC,8510000,2022
Monte Morris,morrimo01,DEN,8449074,2022
Tyus Jones,jonesty01,MEM,8376286,2022
Trae Young,youngtr01,ATL,8326471,2022
Daniel Theis,theisda01,BOS,8280351,2022
LaMelo Ball,ballla01,CHO,8231760,2022
Seth Curry,curryse01,BRK,8207518,2022
JaMychal Green,greenja01,DEN,8200000,2022
Cedi Osman,osmande01,CLE,8133334,2022
Evan Mobley,mobleev01,CLE,8075160,2022
Nerlens Noel,noelne01,NYK,8000000,2022
De'Andre Hunter,huntede01,ATL,7775400,2022
Mo Bamba,bambamo01,ORL,7568743,2022
Ivica Zubac,zubaciv01,LAC,7518518,2022
T.J. McConnell,mccontj01,IND,7500000,2022
Patrick Williams,willipa01,CHI,7422000,2022
Aron Baynes,baynear01,TOR,7350000,2022
Scottie Barnes,barnesc01,TOR,7280520,2022
Darius Garland,garlada01,CLE,7040880,2022
Chris Boucher,bouchch01,TOR,7020000,2022
Zach Collins,colliza01,SAS,7000000,2022
P.J. Tucker,tuckepj01,MIA,7000000,2022
Wendell Carter Jr.,cartewe01,ORL,6920027,2022
Juancho Hernangómez,hernaju01,UTA,6907815,2022
Isaac Okoro,okorois01,CLE,6720720,2022
Jalen Suggs,suggsja01,ORL,6593040,2022
Cameron Payne,payneca01,PHO,6500000,2022
Collin Sexton,sextoco01,CLE,6439671,2022
Jarrett Culver,culveja01,MEM,6395160,2022
Khem Birch,birchkh01,TOR,6350000,2022
Onyeka Okongwu,okongon01,ATL,6104280,2022
Justin Holiday,holidju01,SAC,6006420,2022
Josh Giddey,giddejo01,OKC,5988000,2022
Dennis Schröder,schrode01,HOU,5890000,2022
Patty Mills,millspa02,BRK,5890000,2022
Rudy Gay,gayru01,UTA,5890000,2022
Kevin Knox,knoxke01,ATL,5845979,2022
Coby White,whiteco01,CHI,5837760,2022
Killian Hayes,hayeski01,DET,5572680,2022
Mikal Bridges,bridgmi01,PHO,5557725,2022
Shai Gilgeous-Alexander,gilgesh01,OKC,5495532,2022
Jonathan Kuminga,kuminjo01,GSW,5466360,2022
Miles Bridges,bridgmi02,CHO,5421493,2022
Jaxson Hayes,hayesja02,NOP,5348280,2022
Pat Connaughton,connapa01,MIL,5333334,2022
Michael Porter Jr.,portemi01,DEN,5258735,2022
Hamidou Diallo,diallha01,DET,5200000,2022
Kevon Looney,looneke01,GSW,5178572,2022
Troy Brown Jr.,browntr01,CHI,5170564,2022
Obi Toppin,toppiob01,NYK,5105160,2022
Franz Wagner,wagnefr01,ORL,5007840,2022
Josh Jackson,jacksjo02,SAC,5005350,2022
Kris Dunn,dunnkr01,POR,5005350,2022
Kendrick Nunn,nunnke01,WAS,5000000,2022
JaVale McGee,mcgeeja01,PHO,5000000,2022
Robin Lopez,lopezro01,ORL,5000000,2022
Dante Exum,exumda01,DAL,5000000,2022
Lou Williams,willilo02,ATL,5000000,2022
Rui Hachimura,hachiru01,WAS,4916160,2022
Garrett Temple,templga01,NOP,4910000,2022
Cory Joseph,josepco01,DET,4910000,2022
Taj Gibson,gibsota01,NYK,4910000,2022
Torrey Craig,craigto01,PHO,4878049,2022
Bruce Brown,brownbr01,BRK,4736102,2022
Deni Avdija,avdijde01,WAS,4692840,2022
Donte DiVincenzo,divindo01,SAC,4675830,2022
Cam Reddish,reddica01,NYK,4670160,2022
David Nwaba,nwabada01,HOU,4650000,2022
Furkan Korkmaz,korkmfu01,PHI,4629630,2022
Davion Mitchell,mitchda01,SAC,4603320,2022
Ish Smith,smithis01,WAS,4500000,2022
Bryn Forbes,forbebr01,DEN,4500000,2022
Jeff Green,greenje02,DEN,4500000,2022
Jalen Smith,smithja04,IND,4458000,2022
Lonnie Walker IV,walkelo01,SAS,4447896,2022
Cameron Johnson,johnsca02,PHO,4437000,2022
Ziaire Williams,willizi02,MEM,4373040,2022
Bobby Portis,portibo01,MIL,4347600,2022
Maurice Harkless,harklma01,SAC,4347600,2022
Kevin Huerter,huertke01,ATL,4253357,2022
Devin Vassell,vassede01,SAS,4235160,2022
P.J. Washington,washipj01,CHO,4215120,2022
James Bouknight,bouknja01,CHO,4154400,2022
Willie Cauley-Stein,caulewi01,PHI,4100000,2022
Josh Okogie,okogijo01,MIN,4087904,2022
Grayson Allen,allengr01,MIL,4054695,2022
Jarred Vanderbilt,vandeja01,MIN,4050000,2022
Tyrese Haliburton,halibty01,IND,4023600,2022
Chandler Hutchison,hutchch01,PHO,4019459,2022
Tyler Herro,herroty01,MIA,4004280,2022
Gorgui Dieng,dienggo01,ATL,4000000,2022
Terence Davis,daviste02,SAC,4000000,2022
Dorian Finney-Smith,finnedo01,DAL,4000000,2022
George Hill,hillge01,MIL,4000000,2022
Aaron Holiday,holidaa01,PHO,3980551,2022
Joshua Primo,primojo01,SAS,3946800,2022
Jake Layman,laymaja01,MIN,3940185,2022
Anfernee Simons,simonan01,POR,3938818,2022
Justise Winslow,winslju01,POR,3902439,2022
Kira Lewis Jr.,lewiski01,NOP,3822240,2022
Romeo Langford,langfro01,SAS,3804360,2022
Landry Shamet,shamela01,PHO,3768342,2022
Chris Duarte,duartch01,IND,3749400,2022
Alex Len,lenal01,SAC,3732000,2022
Gabriel Deck,deckga01,OKC,3676852,2022
Robert Williams,williro04,BOS,3661976,2022
Aaron Nesmith,nesmiaa01,BOS,3631200,2022
Sekou Doumbouya,doumbse01,LAL,3613680,2022
Moses Moody,moodymo01,GSW,3562200,2022
Boban Marjanović,marjabo01,DAL,3500000,2022
Cole Anthony,anthoco01,ORL,3449400,2022
Corey Kispert,kispeco01,WAS,3383640,2022
Mike Muscala,muscami01,OKC,3365385,2022
Michael Carter-Williams,cartemi01,ORL,3300000,2022
Georges Niang,niangge01,PHI,3300000,2022
Chuma Okeke,okekech01,ORL,3277080,2022
Isaiah Stewart,stewais01,DET,3277080,2022
Nickeil Alexander-Walker,alexani01,UTA,3261480,2022
Alperen Şengün,sengual01,HOU,3214680,2022
Nicolas Batum,batumni01,LAC,3170029,2022
Trey Burke,burketr01,DAL,3150000,2022
Aleksej Pokusevski,pokusal01,OKC,3113160,2022
Goga Bitadze,bitadgo01,IND,3098400,2022
Trey Murphy III,murphtr02,NOP,3053760,2022
Frank Jackson,jacksfr01,DET,3000000,2022
Sterling Brown,brownst02,DAL,3000000,2022
Luka Šamanić,samanlu01,UTA,2959080,2022
Josh Green,greenjo02,DAL,2957520,2022
Tre Mann,manntr01,OKC,2901240,2022
Matisse Thybulle,thybuma01,PHI,2840160,2022
Saddiq Bey,beysa01,DET,2824320,2022
Kai Jones,joneska01,CHO,2770560,2022
Brandon Clarke,clarkbr01,MEM,2726880,2022
Precious Achiuwa,achiupr01,TOR,2711280,2022
Marc Gasol,gasolma01,MEM,2692991,2022
Anthony Tolliver,tollian01,NOP,2692991,2022
Jalen Johnson,johnsja05,ATL,2659580,2022
Grant Williams,willigr01,BOS,2617800,2022
Tyrese Maxey,maxeyty01,PHI,2602920,2022
Keon Johnson,johnske07,POR,2553120,2022
Darius Bazley,bazleda01,OKC,2513040,2022
Trey Lyles,lylestr01,SAC,2500000,2022
Zeke Nnaji,nnajize01,DEN,2498760,2022
Isaiah Jackson,jacksis01,IND,2451240,2022
Ty Jerome,jeromty01,OKC,2412840,2022
Leandro Bolmaro,bolmale01,MIN,2353320,2022
Usman Garuba,garubus01,HOU,2353320,2022
Willy Hernangómez,hernawi01,NOP,2327220,2022
Edmond Sumner,sumneed01,CHO,2320000,2022
Nassir Little,littlna01,POR,2316240,2022
R.J. Hampton,hamptrj01,ORL,2303040,2022
Josh Christopher,chrisjo01,HOU,2259240,2022
Dylan Windler,windldy01,CLE,2239200,2022
Immanuel Quickley,quickim01,NYK,2210640,2022
John Konchar,konchjo01,MEM,2200000,2022
Quentin Grimes,grimequ01,NYK,2168760,2022
Jordan Poole,poolejo01,GSW,2161440,2022
Bol Bol,bolbo01,DEN,2161152,2022
Keldon Johnson,johnske04,SAS,2145720,2022
Payton Pritchard,pritcpa01,BOS,2137440,2022
Jahlil Okafor,okafoja01,IND,2130023,2022
Bones Hyland,hylanbo01,DEN,2096880,2022
Udoka Azubuike,azubuud01,UTA,2075880,2022
Jaden McDaniels,mcdanja02,MIN,2063280,2022
Malachi Flynn,flynnma01,TOR,2048040,2022
Cam Thomas,thomaca02,BRK,2036280,2022
Desmond Bane,banede01,MEM,2033160,2022
Jaden Springer,sprinja01,PHI,2023800,2022
Day'Ron Sharpe,sharpda01,BRK,2009040,2022
Kenrich Williams,willike04,OKC,2000000,2022
Théo Maledon,maledth01,OKC,2000000,2022
Abdel Nader,naderab01,PHO,2000000,2022
Jordan McLaughlin,mclaujo01,MIN,2000000,2022
Jeremiah Robinson-Earl,robinje02,OKC,2000000,2022
Garrison Mathews,mathega01,HOU,2000000,2022
Santi Aldama,aldamsa01,MEM,1994520,2022
Damian Jones,jonesda03,SAC,1977011,2022
Jontay Porter,portejo01,TOR,1950000,2022
Denzel Valentine,valende01,UTA,1939350,2022
PJ Dozier,doziepj01,DEN,1910860,2022
Damion Lee,leeda03,GSW,1910860,2022
Killian Tillie,tilliki02,MEM,1901625,2022
Shake Milton,miltosh01,PHI,1846738,2022
Wes Iwundu,iwundwe01,ATL,1824003,2022
Mitchell Robinson,robinmi01,NYK,1802057,2022
Jalen Brunson,brunsja01,DAL,1802057,2022
Cody Martin,martico01,CHO,1782621,2022
Mychal Mulder,muldemy01,MIA,1782621,2022
Jalen McDaniels,mcdanja01,CHO,1782621,2022
Luguentz Dort,dortlu01,OKC,1782621,2022
KZ Okpala,okpalkz01,MIA,1782621,2022
Miye Oni,onimi01,UTA,1782621,2022
Isaiah Roby,robyis01,OKC,1782621,2022
Nic Claxton,claxtni01,BRK,1782621,2022
Naz Reid,reidna01,MIN,1782621,2022
Eric Paschall,pascher01,UTA,1782621,2022
Caleb Martin,martica02,MIA,1782621,2022
Terance Mann,mannte01,LAC,1782621,2022
Yogi Ferrell,ferreyo01,LAC,1782621,2022
Kevin Porter Jr.,porteke02,HOU,1782621,2022
Alen Smailagić,smailal01,GSW,1782621,2022
Jaylen Nowell,nowelja01,MIN,1782621,2022
Carsen Edwards,edwarca01,DET,1782621,2022
Vlatko Čančar,cancavl01,DEN,1782621,2022
Daniel Gafford,gaffoda01,WAS,1782621,2022
Dean Wade,wadede01,CLE,1782621,2022
Bruno Fernando,fernabr01,HOU,1782621,2022
Yuta Watanabe,watanyu01,TOR,1762796,2022
Drew Eubanks,eubandr01,POR,1762796,2022
Khyri Thomas,thomakh01,HOU,1762796,2022
Chimezie Metu,metuch01,SAC,1762796,2022
Moritz Wagner,wagnemo01,ORL,1729217,2022
Keita Bates-Diop,bateske01,SAS,1729217,2022
Svi Mykhailiuk,mykhasv01,TOR,1729217,2022
Paul Watson,watsopa01,OKC,1701593,2022
Juan Toscano-Anderson,toscaju01,GSW,1701593,2022
Charlie Brown Jr.,brownch02,PHI,1701593,2022
Tyler Cook,cookty01,CHI,1701593,2022
Kelan Martin,martike03,BOS,1701593,2022
Oshae Brissett,brissos01,IND,1701593,2022
Mfiondu Kabengele,kabenmf01,CLE,1701593,2022
Herbert Jones,joneshe01,NOP,1700000,2022
Frank Ntilikina,ntilila01,DAL,1669178,2022
Victor Oladipo,oladivi01,MIA,1669178,2022
Isaac Bonga,bongais01,TOR,1669178,2022
Sam Dekker,dekkesa01,TOR,1669178,2022
Jarrell Brantley,brantja01,UTA,1669178,2022
Otto Porter Jr.,porteot01,GSW,1669178,2022
Hassan Whiteside,whiteha01,UTA,1669178,2022
Malik Monk,monkma01,LAL,1669178,2022
Kent Bazemore,bazemke01,LAL,1669178,2022
Ben McLemore,mclembe01,POR,1669178,2022
Timothé Luwawu-Cabarrot,luwawti01,ATL,1669178,2022
Dewayne Dedmon,dedmode01,MIA,1669178,2022
Paul Millsap,millspa01,PHI,1669178,2022
E'Twaun Moore,mooreet01,ORL,1669178,2022
Isaiah Hartenstein,harteis01,LAC,1669178,2022
Solomon Hill,hillso01,ATL,1669178,2022
LaMarcus Aldridge,aldrila01,BRK,1669178,2022
Austin Rivers,riverau01,DEN,1669178,2022
Thanasis Antetokounmpo,antetth01,MIL,1669178,2022
Udonis Haslem,hasleud01,MIA,1669178,2022
Gabe Vincent,vincega01,MIA,1669178,2022
Avery Bradley,bradlav01,LAL,1669178,2022
Wayne Ellington,ellinwa01,LAL,1669178,2022
Trevor Ariza,arizatr01,LAL,1669178,2022
Dwight Howard,howardw01,LAL,1669178,2022
Carmelo Anthony,anthoca01,LAL,1669178,2022
Semi Ojeleye,ojelese01,LAC,1669178,2022
Rodney Hood,hoodro01,LAC,1669178,2022
James Johnson,johnsja01,BRK,1669178,2022
Frank Kaminsky,kaminfr01,PHO,1669178,2022
Gary Payton II,paytoga02,GSW,1669178,2022
Rodney McGruder,mcgruro01,DET,1669178,2022
Nemanja Bjelica,bjeline01,GSW,1669178,2022
Andre Iguodala,iguodan01,GSW,1669178,2022
Tony Bradley,bradlto01,CHI,1669178,2022
Markieff Morris,morrima02,MIA,1669178,2022
Max Strus,strusma01,MIA,1669178,2022
Raul Neto,netora01,WAS,1669178,2022
Kevin Pangos,pangoke01,CLE,1669178,2022
Ed Davis,davised01,CLE,1669178,2022
Rajon Rondo,rondora01,CLE,1669178,2022
Matt Thomas,thomama02,CHI,1669178,2022
Javonte Green,greenja02,CHI,1669178,2022
Andre Drummond,drumman01,BRK,1669178,2022
Tony Snell,snellto01,NOP,1669178,2022
Jabari Parker,parkeja01,BOS,1669178,2022
Enes Freedom,kanteen01,BOS,1669178,2022
Blake Griffin,griffbl01,BRK,1669178,2022
Nick Richards,richani01,CHO,1517981,2022
Tyrell Terry,terryty01,MEM,1517981,2022
Lamar Stevens,stevela01,CLE,1517981,2022
Jahmi'us Ramsey,ramseja01,SAC,1517981,2022
Daniel Oturu,oturuda01,TOR,1517981,2022
Jordan Nwora,nworajo01,MIL,1517981,2022
Vernon Carey Jr.,careyve01,WAS,1517981,2022
Anthony Gill,gillan01,WAS,1517981,2022
Robert Woodard II,woodaro01,SAC,1517981,2022
Isaiah Joe,joeis01,PHI,1517981,2022
Tre Jones,jonestr01,SAS,1517981,2022
Elijah Hughes,hugheel01,POR,1517981,2022
KJ Martin,martike04,HOU,1517981,2022
Paul Reed,reedpa01,PHI,1517981,2022
